project_issue_id,project_parent_issue_id,project_estimate,account_type,account_name,repo_name,project_id,project_number,status,milestone,labels,title,body
task-m7-wave-3-apps-integrated-define-client-level-roles-for-wave-3-apps,milestone-m7-wave-3-apps-integrated,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M7 — Wave 3 Apps Integrated,"task,priority-p1,size-m,role-fullstack",Define client-level roles for Wave 3 apps,"Define client roles for all Wave 3 apps in the external realm. Assign customer realm role + app-specific client roles to test external users.

Metadata:
- Priority: P1
- Size: M
- Role: Fullstack
- Milestone: M7 — Wave 3 Apps Integrated"
task-m7-wave-3-apps-integrated-end-to-end-test-wave-3-apps-with-real-external-users,milestone-m7-wave-3-apps-integrated,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M7 — Wave 3 Apps Integrated,"task,priority-p0,size-m,role-fullstack",End-to-end test Wave 3 apps with real external users,"Perform login tests with a sample of real external users. Confirm full flow from login to API access works. Confirm no disruption to existing sessions.

Metadata:
- Priority: P0
- Size: M
- Role: Fullstack
- Milestone: M7 — Wave 3 Apps Integrated"
task-m7-wave-3-apps-integrated-apm-communicate-sso-rollout-to-external-users-wave-3,milestone-m7-wave-3-apps-integrated,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M7 — Wave 3 Apps Integrated,"task,priority-p0,size-m,role-apm",APM: Communicate SSO rollout to external users (Wave 3),"Draft and publish external user notice about the login change. Explain what changes what stays the same and support contact. Coordinate with product/support team.

Metadata:
- Priority: P0
- Size: M
- Role: APM
- Milestone: M7 — Wave 3 Apps Integrated"
task-m8-local-auth-decommissioned-disable-local-login-form-on-wave-1-app,milestone-m8-local-auth-decommissioned,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,"task,priority-p1,size-s,role-fullstack",Disable local login form on Wave 1 app,"Remove or hide the local email/password login form on the Wave 1 app. SSO is now the only login path. Verify no local auth code path remains active.

Metadata:
- Priority: P1
- Size: S
- Role: Fullstack
- Milestone: M8 — Local Auth Decommissioned"
task-m8-local-auth-decommissioned-remove-password-columns-from-wave-1-app-database,milestone-m8-local-auth-decommissioned,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,"task,priority-p1,size-s,role-fullstack",Remove password columns from Wave 1 app database,"Drop password_hash and related auth columns from the Wave 1 app's users table after confirming keycloak_id is populated for all users and SSO has been stable for 2+ weeks.

Metadata:
- Priority: P1
- Size: S
- Role: Fullstack
- Milestone: M8 — Local Auth Decommissioned"
task-m8-local-auth-decommissioned-remove-local-auth-dependencies-from-wave-1-codebase,milestone-m8-local-auth-decommissioned,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,"task,priority-p1,size-m,role-fullstack",Remove local auth dependencies from Wave 1 codebase,"Uninstall auth libraries (bcrypt passport etc) no longer needed. Remove middleware routes and config related to local auth. Clean up dead code.

Metadata:
- Priority: P1
- Size: M
- Role: Fullstack
- Milestone: M8 — Local Auth Decommissioned"
task-m8-local-auth-decommissioned-repeat-local-auth-decommission-for-all-remaining-apps,milestone-m8-local-auth-decommissioned,8,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,"task,priority-p1,size-xl,role-fullstack",Repeat local auth decommission for all remaining apps,"Perform the same disable-remove-cleanup steps for all Wave 2 and Wave 3 apps. Work through apps one by one after each has been stable for at least 2 weeks.

Metadata:
- Priority: P1
- Size: XL
- Role: Fullstack
- Milestone: M8 — Local Auth Decommissioned"
task-m8-local-auth-decommissioned-apm-confirm-decommission-completion-across-all-apps,milestone-m8-local-auth-decommissioned,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,"task,priority-p1,size-s,role-apm",APM: Confirm decommission completion across all apps,"Verify all apps have local auth disabled password columns removed and unused deps cleaned. Update project tracker. Mark M8 complete.

Metadata:
- Priority: P1
- Size: S
- Role: APM
- Milestone: M8 — Local Auth Decommissioned"
task-m9-mobile-facade-sunset-monitor-app-store-adoption-rate-for-old-mobile-version,milestone-m9-mobile-facade-sunset,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,"task,priority-p1,size-s,role-apm",Monitor app store adoption rate for old mobile version,"Track percentage of active external users on the new mobile app version via app store analytics. Target: ≥90% before triggering hard cutoff.

Metadata:
- Priority: P1
- Size: S
- Role: APM
- Milestone: M9 — Mobile Facade Sunset"
task-m9-mobile-facade-sunset-add-in-app-deprecation-banner-to-old-mobile-app,milestone-m9-mobile-facade-sunset,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,"task,priority-p1,size-m,role-mobile",Add in-app deprecation banner to old mobile app,"At month 3–4 ship an update to the old mobile app showing an in-app banner: Please update your app by [date]. Link to app store listing.

Metadata:
- Priority: P1
- Size: M
- Role: Mobile
- Milestone: M9 — Mobile Facade Sunset"
task-m9-mobile-facade-sunset-enforce-410-gone-in-auth-facade-for-unsupported-versions,milestone-m9-mobile-facade-sunset,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,"task,priority-p0,size-s,role-fullstack",Enforce 410 Gone in auth facade for unsupported versions,"At month 6–9 (when adoption ≥90%) update MIN_SUPPORTED_VERSION in the facade to cut off old versions. Deploy. Confirm 410 response returned to old clients.

Metadata:
- Priority: P0
- Size: S
- Role: Fullstack
- Milestone: M9 — Mobile Facade Sunset"
task-m9-mobile-facade-sunset-decommission-auth-facade-service,milestone-m9-mobile-facade-sunset,3,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,"task,priority-p1,size-m,role-fullstack",Decommission auth facade service,"After cutoff is stable and no old clients are reaching the facade shut down the facade service. Remove the mobile-legacy-bridge client from Keycloak. Clean up related code.

Metadata:
- Priority: P1
- Size: M
- Role: Fullstack
- Milestone: M9 — Mobile Facade Sunset"
task-m9-mobile-facade-sunset-apm-final-mobile-migration-sign-off,milestone-m9-mobile-facade-sunset,1,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,"task,priority-p1,size-xs,role-apm",APM: Final mobile migration sign-off,"Confirm facade is decommissioned adoption is 100% on new app and no legacy auth paths remain. Update project documentation and close out the migration.

Metadata:
- Priority: P1
- Size: XS
- Role: APM
- Milestone: M9 — Mobile Facade Sunset"
task-m1-infrastructure-ready-set-up-daily-postgresql-backup-via-pg-dump,milestone-m1-infrastructure-ready,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M1 — Infrastructure Ready,"task,priority-p0,size-s,role-fullstack",Set up daily PostgreSQL backup via pg_dump,"Configure a cron job or scheduled task to run pg_dump keycloak daily. Store backup files off-server (S3 NAS or equivalent). Test restore procedure.

Metadata:
- Priority: P0
- Size: S
- Role: Fullstack
- Milestone: M1 — Infrastructure Ready"
task-m2-realm-and-identity-configured-set-up-weekly-realm-json-export,milestone-m2-realm-and-identity-configured,1,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M2 — Realm & Identity Configured,"task,priority-p1,size-xs,role-apm",Set up weekly realm JSON export,"Schedule a weekly reminder or script to export realm JSON from Keycloak Admin Console for both realms. Commit to git or store in secure backup location.

Metadata:
- Priority: P1
- Size: XS
- Role: APM
- Milestone: M2 — Realm & Identity Configured"
task-m1-infrastructure-ready-configure-uptime-monitoring-and-alerts,milestone-m1-infrastructure-ready,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M1 — Infrastructure Ready,"task,priority-p0,size-s,role-fullstack",Configure uptime monitoring and alerts,"Set up uptime alerts on /health/live and /health/ready for both staging and production. Configure notification to the team on failure (email Slack etc).

Metadata:
- Priority: P0
- Size: S
- Role: Fullstack
- Milestone: M1 — Infrastructure Ready"
task-m2-realm-and-identity-configured-enable-and-configure-keycloak-event-logging,milestone-m2-realm-and-identity-configured,1,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M2 — Realm & Identity Configured,"task,priority-p1,size-xs,role-fullstack",Enable and configure Keycloak event logging,"Enable Admin Events and Login Events in both realms (Realm Settings → Events). Set retention period. Confirm login failure events are captured.

Metadata:
- Priority: P1
- Size: XS
- Role: Fullstack
- Milestone: M2 — Realm & Identity Configured"
task-m2-realm-and-identity-configured-enable-2fa-on-all-keycloak-admin-accounts,milestone-m2-realm-and-identity-configured,1,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M2 — Realm & Identity Configured,"task,priority-p0,size-xs,role-apm",Enable 2FA on all Keycloak admin accounts,"Enforce 2FA for all accounts with admin access to the Keycloak master realm and realm-admin accounts. Verify OTP setup for each team member with admin access.

Metadata:
- Priority: P0
- Size: XS
- Role: APM
- Milestone: M2 — Realm & Identity Configured"
task-m2-realm-and-identity-configured-create-realm-admin-user-per-realm-for-day-to-day-ops,milestone-m2-realm-and-identity-configured,1,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M2 — Realm & Identity Configured,"task,priority-p0,size-xs,role-fullstack",Create realm-admin user per realm for day-to-day ops,"Create a dedicated realm-admin user in both internal and external realms. Use these for daily operations. Reserve master realm admin credentials in password manager only for break-glass use.

Metadata:
- Priority: P0
- Size: XS
- Role: Fullstack
- Milestone: M2 — Realm & Identity Configured"
